GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
MW784105/CHN/pig/NA/NA,CHN,pig,,,1,39,#2df08e,cade,#9BC3B9,#8471A2
MW784106/CHN/pig/NA/NA,CHN,pig,,,1,27,#1ff489,cae,#9BC3B9,#CBEF84
MW784108/CHN/pig/NA/NA,CHN,pig,,,0,30,#a4dabf,caea,#E342C0,#D6D5F2
MW784109/CHN/pig/NA/NA,CHN,pig,,,0,40,#5ee3a0,caeb,#E342C0,#799841
MW962975/CHN/pig/2020/NA,CHN,pig,2020.0,,7,87,#b1c7d8,caec,#5ECBE7,#CBABAA
MZ357118/CHN/rat/2020/NA,CHN,rat,2020.0,,11,75,#76baff,caed,#6494DE,#D1C05A
MZ603733/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#f08dd9,caee,#E3EEDD,#8ABD7D
MZ707081/CHN/human/2020/MAstV6,CHN,human,2020.0,MAstV6,20,18,#af94d5,cb,#BE38E9,#D82FEC
MZ819164/CHL/pig/2017/NA,CHL,pig,2017.0,,1,44,#4ce799,cba,#9BC3B9,#B199B1
MZ819165/CHL/pig/2017/NA,CHL,pig,2017.0,,1,53,#49e898,cbaa,#9BC3B9,#B199B1
NC_002469/NA/sheep/NA/MAstV13,,sheep,,MAstV13,33,15,#ff00ff,cbab,#E4D9EC,#B98CDE
NC_011400/AUS/human/1999/MAstV6,AUS,human,1999.0,MAstV6,20,18,#5f11cd,cbac,#BE38E9,#D82FEC
NC_013060/USA/human/2008/MAstV9,USA,human,2008.0,MAstV9,26,12,#72c661,cbad,#6BE9AD,#F186B8
NC_013443/NGA/human/2007/MAstV8,NGA,human,2007.0,MAstV8,27,13,#dbbdc7,cbae,#D1E782,#6CDC42
NC_016896/HUN/pig/2011/NA,HUN,pig,2011.0,,7,82,#63a2d0,cbb,#5ECBE7,#C57EA7
NC_019494/USA/pig/2011/NA,USA,pig,2011.0,,25,6,#bd89ad,cbba,#94ED85,#8FF1CE
NC_022249/HKG/cat/2012/MAstV2,HKG,cat,2012.0,MAstV2,14,1,#007fff,cbbb,#DABFB0,#51EAEE
NC_023674/USA/pig/2010/NA,USA,pig,2010.0,,1,53,#51e69b,cbbc,#9BC3B9,#B199B1
NC_023675/USA/pig/2010/NA,USA,pig,2010.0,,7,78,#77aad1,cbbd,#5ECBE7,#B16F26
NC_024297/CHN/cow/2014/NA,CHN,cow,2014.0,,2,62,#deb4d4,cbbe,#E3EEDD,#E9A2E8
NC_024472/BFA/human/2010/NA,BFA,human,2010.0,,28,14,#000000,cbc,#DBAEC6,#7680E8
NC_024701/USA/cat/2013/NA,USA,cat,2013.0,,29,11,#000000,cbca,#E1447F,#A766CF
NC_025346/USA/rabbit/2010/NA,USA,rabbit,2010.0,,23,20,#000000,cbcb,#4EE568,#9FCAED
NC_025379/CHN/pig/2013/MAstV3,CHN,pig,2013.0,MAstV3,15,2,#e0a66c,cbcc,#A5BBE6,#E97BD0
NC_026814/GBR/dog/2012/MAstV5,GBR,dog,2012.0,MAstV5,16,3,#9ccc9c,cbcd,#7460DD,#8CF431
NC_027711/ARE/camel/2013/NA,ARE,camel,2013.0,,0,58,#bddbcc,cbce,#E342C0,#F57429
NC_033792/CHN/marmot/2013/NA,CHN,marmot,2013.0,,24,22,#000000,cbd,#E4423E,#69EF92
NC_033821/CHN/marmot/2013/NA,CHN,marmot,2013.0,,22,19,#000000,cbda,#6DE7DB,#C8DC89
NC_034974/KEN/pig/2012/NA,KEN,pig,2012.0,,0,39,#68e0a4,cbdb,#E342C0,#8471A2
OL689632/CHN/pig/2021/MAstV3,CHN,pig,2021.0,MAstV3,15,2,#ff7f00,cbdc,#A5BBE6,#E97BD0
OL695850/CHN/pig/2021/NA,CHN,pig,2021.0,,7,90,#549bd1,cbdd,#5ECBE7,#E3EDF5
OL695851/CHN/pig/2021/NA,CHN,pig,2021.0,,0,52,#5be39f,cbde,#E342C0,#EED98B
OL695852/CHN/pig/2021/NA,CHN,pig,2021.0,,1,50,#27f18c,cbe,#9BC3B9,#A2DCB3
OL695853/CHN/pig/2021/NA,CHN,pig,2021.0,,1,55,#2af18d,cbea,#9BC3B9,#E2CC3A
OL695854/CHN/pig/2021/NA,CHN,pig,2021.0,,0,31,#79ddab,cbeb,#E342C0,#B3ED9F
OL695856/CHN/pig/2021/NA,CHN,pig,2021.0,,0,51,#63e1a2,cbec,#E342C0,#885CDA
OL695857/CHN/pig/2021/NA,CHN,pig,2021.0,,0,45,#a8dac1,cbed,#E342C0,#378E5C
OM104031/ZAF/pig/2021/NA,ZAF,pig,2021.0,,0,38,#66e1a3,cbee,#E342C0,#92BBBA
ON191568/USA/cow/2020/NA,USA,cow,2020.0,,6,68,#ecec39,cc,#AE8EDF,#B8CFB5
ON571594/CHN/human/2019/MAstV1,CHN,human,2019.0,MAstV1,13,0,#41ea41,cca,#7BEA3B,#43B144
ON571595/CHN/human/2019/MAstV1,CHN,human,2019.0,MAstV1,13,0,#2bf02b,ccaa,#7BEA3B,#43B144
ON571596/CHN/human/2019/MAstV1,CHN,human,2019.0,MAstV1,13,0,#b0dab0,ccab,#7BEA3B,#43B144
